"","sample_id","longitude","latitude","continent","raw_obs_div","rarefied"
"1","S1043",3.01889,39.83495,"Europe",36,48.2490005493164
"2","S1044",3.01889,39.83495,"Europe",47,107.499000549316
"3","S1045",3.01889,39.83495,"Europe",44,45.125
"4","S1046",3.01889,39.83495,"Europe",39,43
"5","S1059",9.460072222,48.4587139,"Europe",23,24.1240005493164
"6","S1065",3.01889,39.83495,"Europe",35,35.5
"7","S1067",3.01889,39.83495,"Europe",35,66.9990005493164
"8","S1078",-61.73166667,16.17833333,"Europe",22,26.5
"9","S1148",23.9175,63.41138889,"Europe",NA,NA
"10","S1160",24.92805556,35.18111111,"Europe",33,39.2490005493164
"11","S1161",56.09777778,53.555,"Europe",52,53
"12","S1188",33.53972222,44.56944444,"Europe",51,63.5
"13","S1191",4.96044,50.86233,"Europe",9,10
"14","S1198",-3.513333333,40.27111111,"Europe",38,42
"15","S1210",44.12,49.10888889,"Europe",66,90.5
"16","S1213",-16.545,28.02888889,"Europe",23,25
"17","S1216",-16.22472222,28.54027778,"Europe",25,25.1660003662109
"18","S1223",4.904111,50.865687,"Europe",19,19.5
"19","S1234",3.01889,39.83495,"Europe",29,38
"20","S1240",20.164211,60.074033,"Europe",39,44.3330001831055
"21","S1255",9.460072222,48.4587139,"Europe",22,22
"22","S1256",9.460072222,48.4587139,"Europe",21,21
"23","S1257",9.460072222,48.4587139,"Europe",20,20.5
"24","S1271",9.460072222,48.4587139,"Europe",26,27
"25","S1273",19.927444,60.346778,"Europe",28,35.9990005493164
"26","S1278",23.80083333,35.45916667,"Europe",52,60
"27","S1286",-16.31777778,28.53166667,"Europe",27,27
"28","S1331",4.99017,50.87242,"Europe",29,31.6660003662109
"29","S1390",3.01889,39.83495,"Europe",41,41.5
"30","S1391",20.163806,60.074064,"Europe",29,33.1660003662109
"31","S1394",20.164211,60.074031,"Europe",28,40.4980010986328
"32","S1395",20.164339,60.07405,"Europe",25,31.2490005493164
"33","S1397",3.01889,39.83495,"Europe",32,47
"34","S1436",16.45972222,56.53888889,"Europe",66,66.9000015258789
"35","S1438",12.07138889,37.96111111,"Europe",28,35.9980010986328
"36","S1439",3.01889,39.83495,"Europe",38,47
"37","S1446",20.275511,60.130228,"Europe",22,62.4959983825684
"38","S1478",9.460072222,48.4587139,"Europe",25,25
"39","S1479",9.460072222,48.4587139,"Europe",30,30
"40","S1480",9.460072222,48.4587139,"Europe",22,23
"41","S1481",9.460072222,48.4587139,"Europe",23,25.2479991912842
"42","S1498",9.460072222,48.4587139,"Europe",21,21.9990005493164
"43","S1508",19.927439,60.346781,"Europe",28,32.5
"44","S1538",4.96303,50.86246,"Europe",17,25
"45","S1545",4.936449,50.851184,"Europe",18,19
"46","S1546",9.460072222,48.4587139,"Europe",27,27.1669998168945
"47","S1566",7.55,60.60888889,"Europe",36,44.9990005493164
"48","S1584",20.276164,60.130253,"Europe",19,31.2490005493164
"49","S1601",3.01889,39.83495,"Europe",37,61.9990005493164
"50","S1603",9.460072222,48.4587139,"Europe",22,22.9990005493164
